"user" "activity" "acc.x.mean" "acc.y.mean" "acc.z.mean" "gyro.x.mean" "gyro.y.mean" "gyro.z.mean"
1 "STANDING" 0.000276532436453538 0.000524808830951651 -0.000757860253643455 0.0038027338948237 0.00674630111015065 -0.00510396859477624
1 "SITTING" -0.00336698807718783 0.00830296874545219 0.00124322219354089 -0.0182292707113541 -0.0079394077457631 -0.0103572343574678
1 "LAYING" -0.0115358889115141 -0.0122609074114397 -0.00161731865601312 0.0114704403783495 0.00444869266497344 0.0275984349941828
1 "WALKING" -5.04911990559209e-05 -0.000128854135947368 -0.000938320109560033 -0.014599858215148 0.00217139307711349 -0.00061430490753125
1 "WALKING_DOWNSTAIRS" 0.00239312484429209 0.00378679923166454 0.000244930193343431 -0.0076353937466199 -0.00749376960210459 0.00166069456162309
1 "WALKING_UPSTAIRS" -0.00455728508969634 -0.00357455272079452 0.00363560725781545 0.0806764951158314 -0.041460951730513 -0.0123806836501887
3 "STANDING" 0.000509173695485272 0.00146889766758248 0.00220862876287923 0.00310670472657787 0.00714678968143955 -0.00876620069872387
3 "SITTING" -0.00419954746515084 0.0071518143813936 0.00328679500347386 -0.0112021383501723 -0.000407067605547776 0.00339847371174669
3 "LAYING" -0.000424302075489919 -0.000953314750890121 0.00231474892565257 0.00707281137663609 0.00112362553571447 0.0228672015564589
3 "WALKING" -0.000413872830590652 -2.02621447764008e-05 -0.00144266983757813 0.00209813659221444 -0.00161440306505657 -0.00220595817404903
3 "WALKING_DOWNSTAIRS" 0.00305982842274872 -0.0011629786873023 -0.00258729414628584 -0.107155483487921 0.0272718476380166 0.0165944493262564
3 "WALKING_UPSTAIRS" -0.0034530665892214 -0.00801077242356991 -0.000580482469830509 0.103003805232336 -0.0293182022684719 -0.02866763644067
5 "STANDING" 0.0010239383253571 0.00531539694492441 0.00202714877355748 -0.00474039744339171 0.0105432355825085 -0.00762946506118192
5 "SITTING" -0.000799927948313565 0.00379606698153494 -7.68573316132813e-05 -0.0150170975953089 -0.00415780967778871 -0.00174351690017862
5 "LAYING" 0.000156324978158323 -0.000611612398061599 0.000122237646045373 0.0059626190485652 -0.00249746454457151 0.0325576263695337
5 "WALKING" 5.49378844977676e-05 -7.70382653041295e-05 0.000186927531498326 -0.0218822389265346 0.00240460003061942 -0.00211967320304129
5 "WALKING_DOWNSTAIRS" 0.00329073173105053 0.00453025937907247 0.00263866356910572 -0.0418930660643118 0.00160677536985372 -0.00251249345378989
5 "WALKING_UPSTAIRS" -0.00187869311153923 -0.00807163455256981 0.000276225530490359 0.0693004434081749 -0.0193492855700133 -0.0194246224910971
6 "STANDING" 0.000570943425822643 -0.000516896070582538 -0.00127682976054825 -0.000595121130686678 0.00693360656300164 -0.0042459084296546
6 "SITTING" -0.000164303442534574 0.00133593051146449 -0.000601249092201847 -0.00986933461181477 -0.0070292750622625 -0.000397531556147727
6 "LAYING" -0.00595969921535033 0.0036113954618687 -0.00819638475029276 0.0203323996502719 -0.0148446252517996 0.0410587608178561
6 "WALKING" 0.00125361086125 0.000127318237214912 -0.000659203091705044 0.00223314137040214 -4.82396223917215e-05 -0.00108519217804276
6 "WALKING_DOWNSTAIRS" -0.000109326533723959 -0.00125814180607747 0.00036280778531901 -0.0705534005924528 0.0181325248358073 0.00029585718042806
6 "WALKING_UPSTAIRS" -0.0019261144401348 -0.0052998792535386 -0.00455037321912377 -0.0506039534477022 0.0101320629135386 -0.00881170021187194
